Sequence.Name	GenBank.Accn	RefSeq.Accn	Sequence.Length	Chr
C18276744	AOGC01089738.1	NW_013188107.1	741	2452
C18276808	AOGC01089741.1	NW_013188103.1	741	2453
C18276858	AOGC01089742.1	NW_013188102.1	741	2454
C18277108	AOGC01089743.1	NW_013188106.1	741	2455
C18277302	AOGC01089748.1	NW_013188104.1	741	2456
C18277144	AOGC01089749.1	NW_013188109.1	741	2457
scaffold1411	AOGC01084626.1	NW_013188111.1	740	2458
C18275334	AOGC01089737.1	NW_013188110.1	740	2459
C18275814	AOGC01089740.1	NW_013188112.1	740	2460
C18274226	AOGC01089730.1	NW_013188114.1	739	2461
C18275240	AOGC01089734.1	NW_013188113.1	739	2462
C18274280	AOGC01089735.1	NW_013188115.1	739	2463
C18274808	AOGC01089739.1	NW_013188116.1	739	2464
C18273294	AOGC01089731.1	NW_013188117.1	738	2465
C18274006	AOGC01089733.1	NW_013188118.1	738	2466
C18272840	AOGC01089729.1	NW_013188119.1	737	2467
C18271992	AOGC01089732.1	NW_013188120.1	737	2468
C18270862	AOGC01089723.1	NW_013188123.1	736	2469
C18271038	AOGC01089724.1	NW_013188121.1	736	2470
C18271544	AOGC01089726.1	NW_013188124.1	736	2471
C18271564	AOGC01089728.1	NW_013188122.1	736	2472
C18270086	AOGC01089718.1	NW_013188129.1	735	2473
C18270118	AOGC01089720.1	NW_013188128.1	735	2474
C18270350	AOGC01089721.1	NW_013188125.1	735	2475
C18269828	AOGC01089725.1	NW_013188126.1	735	2476
C18269954	AOGC01089727.1	NW_013188127.1	735	2477
C18268282	AOGC01089713.1	NW_013188134.1	734	2478
C18269122	AOGC01089716.1	NW_013188132.1	734	2479
C18268930	AOGC01089717.1	NW_013188130.1	734	2480
C18268436	AOGC01089719.1	NW_013188133.1	734	2481
C18269398	AOGC01089722.1	NW_013188131.1	734	2482
C18268150	AOGC01089711.1	NW_013188135.1	733	2483
C18267162	AOGC01089712.1	NW_013188136.1	733	2484
C18267914	AOGC01089715.1	NW_013188137.1	733	2485
scaffold1087	AOGC01084047.1	NW_013188138.1	732	2486
C18265950	AOGC01089709.1	NW_013188140.1	732	2487
C18266254	AOGC01089710.1	NW_013188141.1	732	2488
C18267070	AOGC01089714.1	NW_013188139.1	732	2489
scaffold655	AOGC01081017.1	NW_013188143.1	731	2490
C18264810	AOGC01089704.1	NW_013188142.1	731	2491
C18264968	AOGC01089707.1	NW_013188144.1	731	2492
scaffold1022	AOGC01083909.1	NW_013188145.1	730	2493
C18263656	AOGC01089706.1	NW_013188147.1	730	2494
C18264260	AOGC01089708.1	NW_013188146.1	730	2495
C18262554	AOGC01089700.1	NW_013188150.1	729	2496
C18263200	AOGC01089701.1	NW_013188149.1	729	2497
C18263210	AOGC01089703.1	NW_013188151.1	729	2498
C18262618	AOGC01089705.1	NW_013188148.1	729	2499
C18262152	AOGC01089699.1	NW_013188152.1	728	2500
scaffold1056	KQ040378.1	NW_013188153.1	728	2501
scaffold1130	AOGC01084122.1	NW_013188157.1	727	2502
C18260178	AOGC01089694.1	NW_013188154.1	727	2503
C18261288	AOGC01089696.1	NW_013188155.1	727	2504
C18260266	AOGC01089702.1	NW_013188156.1	727	2505
scaffold327	AOGC01064199.1	NW_013188159.1	726	2506
C18259588	AOGC01089698.1	NW_013188158.1	726	2507
C18258590	AOGC01089690.1	NW_013188162.1	725	2508
C18258134	AOGC01089695.1	NW_013188161.1	725	2509
C18258520	AOGC01089697.1	NW_013188160.1	725	2510
C18256906	AOGC01089689.1	NW_013188164.1	724	2511
C18257370	AOGC01089693.1	NW_013188163.1	724	2512
scaffold1264	AOGC01084416.1	NW_013188165.1	723	2513
C18256422	AOGC01089691.1	NW_013188166.1	723	2514
C18255980	AOGC01089692.1	NW_013188167.1	723	2515
scaffold1277	AOGC01084424.1	NW_013188168.1	722	2516
C18254294	AOGC01089678.1	NW_013188171.1	722	2517
C18254502	AOGC01089684.1	NW_013188169.1	722	2518
C18254734	AOGC01089685.1	NW_013188172.1	722	2519
C18255420	AOGC01089687.1	NW_013188173.1	722	2520
C18254404	AOGC01089688.1	NW_013188170.1	722	2521
C18253812	AOGC01089680.1	NW_013188174.1	721	2522
C18254032	AOGC01089682.1	NW_013188175.1	721	2523
scaffold906	AOGC01083161.1	NW_013188180.1	720	2524
scaffold1021	AOGC01083911.1	NW_013188177.1	720	2525
C18252870	AOGC01089679.1	NW_013188179.1	720	2526
C18252388	AOGC01089683.1	NW_013188176.1	720	2527
C18252576	AOGC01089686.1	NW_013188178.1	720	2528
scaffold777	AOGC01082352.1	NW_013188186.1	719	2529
C18250822	AOGC01089671.1	NW_013188187.1	719	2530
C18251234	AOGC01089674.1	NW_013188185.1	719	2531
C18251414	AOGC01089675.1	NW_013188184.1	719	2532
C18251438	AOGC01089676.1	NW_013188181.1	719	2533
C18251342	AOGC01089677.1	NW_013188182.1	719	2534
C18251778	AOGC01089681.1	NW_013188183.1	719	2535
C18250270	AOGC01089668.1	NW_013188188.1	718	2536
C18250414	AOGC01089669.1	NW_013188189.1	718	2537
C18250498	AOGC01089672.1	NW_013188190.1	718	2538
C18250160	AOGC01089673.1	NW_013188192.1	718	2539
scaffold295	KQ040379.1	NW_013188191.1	718	2540
C18248728	AOGC01089663.1	NW_013188197.1	717	2541
C18248836	AOGC01089664.1	NW_013188194.1	717	2542
C18248316	AOGC01089666.1	NW_013188196.1	717	2543
C18249132	AOGC01089667.1	NW_013188193.1	717	2544
C18249468	AOGC01089670.1	NW_013188195.1	717	2545
scaffold649	AOGC01080980.1	NW_013188198.1	716	2546
C18246320	AOGC01089665.1	NW_013188199.1	715	2547
C18245618	AOGC01089658.1	NW_013188201.1	714	2548
C18245488	AOGC01089660.1	NW_013188203.1	714	2549
C18244720	AOGC01089662.1	NW_013188200.1	714	2550
scaffold1096	KQ040380.1	NW_013188202.1	714	2551
C18243574	AOGC01089656.1	NW_013188205.1	713	2552
C18244448	AOGC01089659.1	NW_013188204.1	713	2553
C18243846	AOGC01089661.1	NW_013188206.1	713	2554
C18242628	AOGC01089649.1	NW_013188209.1	712	2555
C18243034	AOGC01089651.1	NW_013188208.1	712	2556
C18242416	AOGC01089652.1	NW_013188211.1	712	2557
C18242896	AOGC01089654.1	NW_013188210.1	712	2558
C18243080	AOGC01089655.1	NW_013188207.1	712	2559
C18241864	AOGC01089647.1	NW_013188215.1	711	2560
C18241780	AOGC01089650.1	NW_013188214.1	711	2561
C18241032	AOGC01089653.1	NW_013188212.1	711	2562
C18241966	AOGC01089657.1	NW_013188213.1	711	2563
C18239878	AOGC01089644.1	NW_013188217.1	710	2564
C18240256	AOGC01089645.1	NW_013188219.1	710	2565
C18239762	AOGC01089646.1	NW_013188218.1	710	2566
C18240660	AOGC01089648.1	NW_013188216.1	710	2567
C18238978	AOGC01089638.1	NW_013188221.1	709	2568
C18239294	AOGC01089639.1	NW_013188222.1	709	2569
C18239608	AOGC01089643.1	NW_013188220.1	709	2570
C18237426	AOGC01089642.1	NW_013188223.1	708	2571
C18237224	AOGC01089640.1	NW_013188225.1	707	2572
C18236722	AOGC01089641.1	NW_013188224.1	707	2573
C18235054	AOGC01089630.1	NW_013188227.1	706	2574
C18235082	AOGC01089632.1	NW_013188226.1	706	2575
C18235592	AOGC01089633.1	NW_013188228.1	706	2576
C18235718	AOGC01089637.1	NW_013188229.1	706	2577
C18234654	AOGC01089634.1	NW_013188230.1	705	2578
scaffold808	AOGC01082591.1	NW_013188231.1	704	2579
C18232896	AOGC01089627.1	NW_013188237.1	704	2580
C18232740	AOGC01089628.1	NW_013188232.1	704	2581
C18233276	AOGC01089629.1	NW_013188236.1	704	2582
C18232424	AOGC01089631.1	NW_013188234.1	704	2583
C18232660	AOGC01089635.1	NW_013188233.1	704	2584
C18233558	AOGC01089636.1	NW_013188235.1	704	2585
scaffold916	AOGC01083172.1	NW_013188241.1	703	2586
scaffold1035	AOGC01083935.1	NW_013188242.1	703	2587
C18231196	AOGC01089620.1	NW_013188245.1	703	2588
C18231324	AOGC01089622.1	NW_013188240.1	703	2589
C18232046	AOGC01089623.1	NW_013188238.1	703	2590
C18232062	AOGC01089624.1	NW_013188239.1	703	2591
C18231804	AOGC01089625.1	NW_013188243.1	703	2592
C18232176	AOGC01089626.1	NW_013188244.1	703	2593
scaffold619	AOGC01080472.1	NW_013188247.1	702	2594
C18230872	AOGC01089619.1	NW_013188246.1	702	2595
scaffold1208	AOGC01084266.1	NW_013188248.1	701	2596
C18229078	AOGC01089612.1	NW_013188249.1	701	2597
C18229464	AOGC01089613.1	NW_013188253.1	701	2598
C18228646	AOGC01089614.1	NW_013188251.1	701	2599
C18229266	AOGC01089615.1	NW_013188250.1	701	2600
C18229490	AOGC01089617.1	NW_013188252.1	701	2601
C18229674	AOGC01089618.1	NW_013188255.1	701	2602
C18229696	AOGC01089621.1	NW_013188254.1	701	2603
scaffold1111	AOGC01084076.1	NW_013188256.1	700	2604
C18227986	AOGC01089610.1	NW_013188258.1	700	2605
C18228396	AOGC01089616.1	NW_013188257.1	700	2606
C18226806	AOGC01089607.1	NW_013188260.1	699	2607
C18226560	AOGC01089609.1	NW_013188261.1	699	2608
C18227010	AOGC01089611.1	NW_013188259.1	699	2609
C18225320	AOGC01089604.1	NW_013188263.1	698	2610
C18225414	AOGC01089605.1	NW_013188262.1	698	2611
C18225970	AOGC01089608.1	NW_013188264.1	698	2612
scaffold920	AOGC01083181.1	NW_013188271.1	697	2613
C18224238	AOGC01089597.1	NW_013188269.1	697	2614
C18223834	AOGC01089599.1	NW_013188268.1	697	2615
C18224994	AOGC01089601.1	NW_013188266.1	697	2616
C18223958	AOGC01089602.1	NW_013188265.1	697	2617
C18224728	AOGC01089603.1	NW_013188270.1	697	2618
C18224492	AOGC01089606.1	NW_013188267.1	697	2619
scaffold1052	AOGC01083982.1	NW_013188275.1	696	2620
C18222670	AOGC01089590.1	NW_013188272.1	696	2621
C18223064	AOGC01089593.1	NW_013188276.1	696	2622
C18223352	AOGC01089594.1	NW_013188277.1	696	2623
C18223376	AOGC01089596.1	NW_013188278.1	696	2624
C18223142	AOGC01089598.1	NW_013188274.1	696	2625
C18223320	AOGC01089600.1	NW_013188273.1	696	2626
C18221390	AOGC01089586.1	NW_013188279.1	695	2627
C18222342	AOGC01089588.1	NW_013188281.1	695	2628
C18221740	AOGC01089589.1	NW_013188283.1	695	2629
C18222544	AOGC01089591.1	NW_013188282.1	695	2630
C18221460	AOGC01089592.1	NW_013188284.1	695	2631
C18221756	AOGC01089595.1	NW_013188280.1	695	2632
scaffold774	AOGC01082345.1	NW_013188286.1	694	2633
C18220234	AOGC01089585.1	NW_013188285.1	694	2634
scaffold1388	AOGC01084592.1	NW_013188287.1	693	2635
C18219468	AOGC01089583.1	NW_013188288.1	693	2636
C18219596	AOGC01089584.1	NW_013188289.1	693	2637
C18219446	AOGC01089587.1	NW_013188290.1	693	2638
C18217996	AOGC01089581.1	NW_013188291.1	692	2639
C18218028	AOGC01089582.1	NW_013188292.1	692	2640
scaffold1148	KQ040381.1	NW_013188293.1	692	2641
scaffold1078	AOGC01084036.1	NW_013188302.1	691	2642
scaffold1271	AOGC01084418.1	NW_013188294.1	691	2643
C18216882	AOGC01089569.1	NW_013188301.1	691	2644
C18216934	AOGC01089570.1	NW_013188303.1	691	2645
C18216606	AOGC01089571.1	NW_013188295.1	691	2646
C18217566	AOGC01089573.1	NW_013188304.1	691	2647
C18216962	AOGC01089574.1	NW_013188300.1	691	2648
C18216950	AOGC01089575.1	NW_013188299.1	691	2649
C18217706	AOGC01089576.1	NW_013188298.1	691	2650
C18217666	AOGC01089577.1	NW_013188305.1	691	2651
C18217744	AOGC01089578.1	NW_013188296.1	691	2652
C18217274	AOGC01089580.1	NW_013188297.1	691	2653
C18215460	AOGC01089566.1	NW_013188308.1	690	2654
C18215650	AOGC01089567.1	NW_013188307.1	690	2655
C18215982	AOGC01089568.1	NW_013188309.1	690	2656
C18216462	AOGC01089579.1	NW_013188306.1	690	2657
scaffold1003	AOGC01083862.1	NW_013188310.1	689	2658
C18215112	AOGC01089563.1	NW_013188312.1	689	2659
C18215140	AOGC01089572.1	NW_013188311.1	689	2660
C18213980	AOGC01089562.1	NW_013188313.1	688	2661
scaffold1481	AOGC01084729.1	NW_013188317.1	686	2662
scaffold1483	AOGC01084731.1	NW_013188315.1	686	2663
C18211130	AOGC01089564.1	NW_013188314.1	686	2664
C18211378	AOGC01089565.1	NW_013188316.1	686	2665
C18209662	AOGC01089556.1	NW_013188323.1	685	2666
C18209464	AOGC01089557.1	NW_013188318.1	685	2667
C18210438	AOGC01089558.1	NW_013188322.1	685	2668
C18210244	AOGC01089559.1	NW_013188319.1	685	2669
C18210338	AOGC01089560.1	NW_013188321.1	685	2670
C18209364	AOGC01089561.1	NW_013188320.1	685	2671
C18207076	AOGC01089550.1	NW_013188330.1	683	2672
C18206962	AOGC01089551.1	NW_013188326.1	683	2673
C18207628	AOGC01089552.1	NW_013188325.1	683	2674
C18207080	AOGC01089553.1	NW_013188327.1	683	2675
C18207670	AOGC01089554.1	NW_013188324.1	683	2676
C18207356	AOGC01089555.1	NW_013188328.1	683	2677
scaffold877	KQ040382.1	NW_013188329.1	683	2678
C18205876	AOGC01089544.1	NW_013188334.1	682	2679
C18205756	AOGC01089546.1	NW_013188335.1	682	2680
C18206318	AOGC01089547.1	NW_013188333.1	682	2681
C18206352	AOGC01089548.1	NW_013188332.1	682	2682
C18205730	AOGC01089549.1	NW_013188331.1	682	2683
C18204580	AOGC01089537.1	NW_013188336.1	681	2684
C18204968	AOGC01089542.1	NW_013188338.1	681	2685
C18204866	AOGC01089543.1	NW_013188339.1	681	2686
C18205300	AOGC01089545.1	NW_013188337.1	681	2687
C18203622	AOGC01089535.1	NW_013188340.1	680	2688
C18203924	AOGC01089539.1	NW_013188341.1	680	2689
C18204096	AOGC01089541.1	NW_013188342.1	680	2690
C18201706	AOGC01089536.1	NW_013188343.1	679	2691
C18201970	AOGC01089538.1	NW_013188344.1	679	2692
C18201964	AOGC01089540.1	NW_013188345.1	679	2693
C18200934	AOGC01089530.1	NW_013188348.1	678	2694
C18201546	AOGC01089531.1	NW_013188350.1	678	2695
C18201154	AOGC01089532.1	NW_013188349.1	678	2696
C18200484	AOGC01089533.1	NW_013188347.1	678	2697
C18201622	AOGC01089534.1	NW_013188346.1	678	2698
C18199664	AOGC01089524.1	NW_013188351.1	677	2699
C18200238	AOGC01089527.1	NW_013188353.1	677	2700
C18199274	AOGC01089529.1	NW_013188352.1	677	2701
scaffold1106	KQ040383.1	NW_013188354.1	677	2702
C18198044	AOGC01089522.1	NW_013188355.1	676	2703
scaffold1346	AOGC01084529.1	NW_013188356.1	675	2704
C18197542	AOGC01089528.1	NW_013188357.1	675	2705
scaffold800	AOGC01082558.1	NW_013188358.1	674	2706
C18195706	AOGC01089521.1	NW_013188359.1	674	2707
C18196210	AOGC01089526.1	NW_013188360.1	674	2708
C18195114	AOGC01089514.1	NW_013188363.1	673	2709
C18195152	AOGC01089517.1	NW_013188364.1	673	2710
C18195300	AOGC01089519.1	NW_013188365.1	673	2711
C18194630	AOGC01089520.1	NW_013188366.1	673	2712
C18195346	AOGC01089523.1	NW_013188361.1	673	2713
C18195468	AOGC01089525.1	NW_013188362.1	673	2714
C18193540	AOGC01089515.1	NW_013188368.1	672	2715
C18193792	AOGC01089518.1	NW_013188367.1	672	2716
C18192720	AOGC01089509.1	NW_013188370.1	671	2717
C18192950	AOGC01089516.1	NW_013188369.1	671	2718
C18191464	AOGC01089507.1	NW_013188372.1	670	2719
C18191804	AOGC01089511.1	NW_013188373.1	670	2720
C18191500	AOGC01089513.1	NW_013188371.1	670	2721
C18190282	AOGC01089504.1	NW_013188375.1	669	2722
C18190340	AOGC01089512.1	NW_013188374.1	669	2723
C18189180	AOGC01089505.1	NW_013188376.1	668	2724
C18188188	AOGC01089506.1	NW_013188378.1	668	2725
C18188604	AOGC01089508.1	NW_013188377.1	668	2726
scaffold1436	KQ040384.1	NW_013188379.1	668	2727
C18186892	AOGC01089496.1	NW_013188380.1	667	2728
C18187396	AOGC01089500.1	NW_013188381.1	667	2729
C18187756	AOGC01089501.1	NW_013188383.1	667	2730
C18187472	AOGC01089502.1	NW_013188382.1	667	2731
C18187886	AOGC01089503.1	NW_013188385.1	667	2732
C18187956	AOGC01089510.1	NW_013188384.1	667	2733
C18185632	AOGC01089497.1	NW_013188386.1	666	2734
C18185934	AOGC01089499.1	NW_013188387.1	666	2735
C18184860	AOGC01089494.1	NW_013188389.1	665	2736
C18184254	AOGC01089495.1	NW_013188390.1	665	2737
C18185380	AOGC01089498.1	NW_013188388.1	665	2738
scaffold1049	AOGC01083981.1	NW_013188393.1	664	2739
C18183488	AOGC01089488.1	NW_013188391.1	664	2740
C18183686	AOGC01089492.1	NW_013188394.1	664	2741
C18183238	AOGC01089493.1	NW_013188392.1	664	2742
scaffold1083	AOGC01084042.1	NW_013188395.1	663	2743
C18182126	AOGC01089489.1	NW_013188396.1	663	2744
C18180806	AOGC01089481.1	NW_013188402.1	662	2745
C18180854	AOGC01089483.1	NW_013188397.1	662	2746
C18181054	AOGC01089485.1	NW_013188398.1	662	2747
C18180496	AOGC01089487.1	NW_013188400.1	662	2748
C18181306	AOGC01089490.1	NW_013188399.1	662	2749
C18181688	AOGC01089491.1	NW_013188401.1	662	2750
C18179316	AOGC01089480.1	NW_013188404.1	661	2751
C18180238	AOGC01089482.1	NW_013188403.1	661	2752
C18179456	AOGC01089484.1	NW_013188405.1	661	2753
scaffold1249	AOGC01084391.1	NW_013188410.1	660	2754
C18177752	AOGC01089474.1	NW_013188408.1	660	2755
C18177746	AOGC01089475.1	NW_013188412.1	660	2756
C18178276	AOGC01089476.1	NW_013188409.1	660	2757
C18178374	AOGC01089478.1	NW_013188407.1	660	2758
C18178620	AOGC01089479.1	NW_013188406.1	660	2759
C18178516	AOGC01089486.1	NW_013188411.1	660	2760
C18177604	AOGC01089471.1	NW_013188415.1	659	2761
C18177290	AOGC01089473.1	NW_013188413.1	659	2762
C18177658	AOGC01089477.1	NW_013188414.1	659	2763
C18175316	AOGC01089466.1	NW_013188416.1	658	2764
C18176372	AOGC01089469.1	NW_013188417.1	658	2765
C18175502	AOGC01089470.1	NW_013188418.1	658	2766
scaffold1340	AOGC01084517.1	NW_013188424.1	657	2767
C18173912	AOGC01089461.1	NW_013188420.1	657	2768
C18174174	AOGC01089464.1	NW_013188423.1	657	2769
C18174044	AOGC01089465.1	NW_013188419.1	657	2770
C18174250	AOGC01089467.1	NW_013188425.1	657	2771
C18174736	AOGC01089468.1	NW_013188422.1	657	2772
C18175010	AOGC01089472.1	NW_013188426.1	657	2773
scaffold1138	KQ040385.1	NW_013188421.1	657	2774
scaffold1144	AOGC01084146.1	NW_013188428.1	656	2775
C18173300	AOGC01089462.1	NW_013188429.1	656	2776
C18173304	AOGC01089463.1	NW_013188427.1	656	2777
scaffold741	AOGC01081996.1	NW_013188430.1	655	2778
C18172016	AOGC01089458.1	NW_013188431.1	655	2779
C18171684	AOGC01089460.1	NW_013188432.1	655	2780
C18170734	AOGC01089454.1	NW_013188434.1	654	2781
C18171276	AOGC01089456.1	NW_013188433.1	654	2782
scaffold958	AOGC01083309.1	NW_013188436.1	652	2783
C18168534	AOGC01089453.1	NW_013188435.1	652	2784
C18166454	AOGC01089455.1	NW_013188437.1	651	2785
C18165338	AOGC01089457.1	NW_013188438.1	650	2786
C18163946	AOGC01089452.1	NW_013188440.1	649	2787
C18164258	AOGC01089459.1	NW_013188439.1	649	2788
C18162842	AOGC01089446.1	NW_013188444.1	648	2789
C18163654	AOGC01089448.1	NW_013188441.1	648	2790
C18163518	AOGC01089450.1	NW_013188443.1	648	2791
C18163404	AOGC01089451.1	NW_013188442.1	648	2792
C18161416	AOGC01089445.1	NW_013188447.1	647	2793
C18162134	AOGC01089447.1	NW_013188445.1	647	2794
C18162278	AOGC01089449.1	NW_013188446.1	647	2795
scaffold1186	AOGC01084233.1	NW_013188453.1	646	2796
C18160382	AOGC01089437.1	NW_013188450.1	646	2797
C18159898	AOGC01089439.1	NW_013188448.1	646	2798
C18160914	AOGC01089440.1	NW_013188449.1	646	2799
C18160792	AOGC01089442.1	NW_013188452.1	646	2800
C18160524	AOGC01089443.1	NW_013188451.1	646	2801
C18160972	AOGC01089444.1	NW_013188454.1	646	2802
scaffold1446	AOGC01084678.1	NW_013188456.1	645	2803
C18158990	AOGC01089431.1	NW_013188458.1	645	2804
C18159230	AOGC01089435.1	NW_013188457.1	645	2805
C18159044	AOGC01089438.1	NW_013188459.1	645	2806
C18159288	AOGC01089441.1	NW_013188455.1	645	2807
C18157274	AOGC01089429.1	NW_013188460.1	644	2808
C18157564	AOGC01089433.1	NW_013188462.1	644	2809
C18157628	AOGC01089434.1	NW_013188461.1	644	2810
C18157682	AOGC01089436.1	NW_013188463.1	644	2811
C18156234	AOGC01089424.1	NW_013188466.1	643	2812
C18156576	AOGC01089425.1	NW_013188465.1	643	2813
C18156148	AOGC01089426.1	NW_013188467.1	643	2814
C18156616	AOGC01089430.1	NW_013188464.1	643	2815
scaffold1304	AOGC01084461.1	NW_013188473.1	642	2816
C18155160	AOGC01089419.1	NW_013188469.1	642	2817
C18154906	AOGC01089420.1	NW_013188475.1	642	2818
C18154476	AOGC01089422.1	NW_013188474.1	642	2819
C18155468	AOGC01089423.1	NW_013188470.1	642	2820
C18155288	AOGC01089427.1	NW_013188468.1	642	2821
C18155544	AOGC01089428.1	NW_013188471.1	642	2822
C18154430	AOGC01089432.1	NW_013188472.1	642	2823
C18153184	AOGC01089416.1	NW_013188478.1	641	2824
C18153426	AOGC01089418.1	NW_013188477.1	641	2825
C18153228	AOGC01089421.1	NW_013188476.1	641	2826
C18152672	AOGC01089412.1	NW_013188480.1	640	2827
C18152678	AOGC01089417.1	NW_013188479.1	640	2828
C18151588	AOGC01089413.1	NW_013188483.1	639	2829
C18151160	AOGC01089414.1	NW_013188482.1	639	2830
C18151326	AOGC01089415.1	NW_013188481.1	639	2831
scaffold1298	AOGC01084450.1	NW_013188486.1	638	2832
scaffold1485	AOGC01084737.1	NW_013188485.1	638	2833
C18149408	AOGC01089411.1	NW_013188484.1	638	2834
C18148406	AOGC01089409.1	NW_013188487.1	637	2835
C18148734	AOGC01089410.1	NW_013188488.1	637	2836
scaffold1475	AOGC01084719.1	NW_013188489.1	636	2837
C18147036	AOGC01089405.1	NW_013188490.1	636	2838
scaffold1162	AOGC01084181.1	NW_013188491.1	635	2839
C18145866	AOGC01089403.1	NW_013188493.1	635	2840
C18145462	AOGC01089406.1	NW_013188494.1	635	2841
C18145498	AOGC01089407.1	NW_013188492.1	635	2842
scaffold586	AOGC01079760.1	NW_013188495.1	634	2843
C18144036	AOGC01089401.1	NW_013188496.1	634	2844
C18144576	AOGC01089402.1	NW_013188497.1	634	2845
C18144658	AOGC01089404.1	NW_013188498.1	634	2846
C18143752	AOGC01089398.1	NW_013188499.1	633	2847
C18142150	AOGC01089396.1	NW_013188500.1	632	2848
C18142426	AOGC01089399.1	NW_013188501.1	632	2849
C18142450	AOGC01089400.1	NW_013188502.1	632	2850
C18140944	AOGC01089393.1	NW_013188505.1	631	2851
C18141210	AOGC01089397.1	NW_013188503.1	631	2852
C18141140	AOGC01089408.1	NW_013188504.1	631	2853
scaffold1164	AOGC01084186.1	NW_013188510.1	630	2854
C18139418	AOGC01089388.1	NW_013188511.1	630	2855
C18139188	AOGC01089389.1	NW_013188509.1	630	2856
C18139304	AOGC01089390.1	NW_013188508.1	630	2857
C18139454	AOGC01089391.1	NW_013188506.1	630	2858
C18139774	AOGC01089395.1	NW_013188507.1	630	2859
scaffold1267	AOGC01084417.1	NW_013188512.1	629	2860
C18137612	AOGC01089386.1	NW_013188513.1	629	2861
C18138218	AOGC01089392.1	NW_013188514.1	629	2862
C18136110	AOGC01089384.1	NW_013188516.1	628	2863
C18137118	AOGC01089387.1	NW_013188517.1	628	2864
C18137348	AOGC01089394.1	NW_013188515.1	628	2865
C18134728	AOGC01089379.1	NW_013188518.1	627	2866
C18134994	AOGC01089382.1	NW_013188519.1	627	2867
C18135556	AOGC01089383.1	NW_013188520.1	627	2868
C18134280	AOGC01089380.1	NW_013188521.1	626	2869
C18134224	AOGC01089385.1	NW_013188522.1	626	2870
C18132296	AOGC01089373.1	NW_013188527.1	625	2871
C18132380	AOGC01089375.1	NW_013188523.1	625	2872
C18132722	AOGC01089376.1	NW_013188526.1	625	2873
C18132292	AOGC01089377.1	NW_013188525.1	625	2874
C18133048	AOGC01089381.1	NW_013188524.1	625	2875
C18130598	AOGC01089369.1	NW_013188529.1	624	2876
C18131122	AOGC01089372.1	NW_013188528.1	624	2877
C18131324	AOGC01089374.1	NW_013188530.1	624	2878
C18130630	AOGC01089378.1	NW_013188531.1	624	2879
scaffold1239	AOGC01084372.1	NW_013188537.1	623	2880
scaffold1435	AOGC01084667.1	NW_013188535.1	623	2881
C18129530	AOGC01089367.1	NW_013188534.1	623	2882
C18130546	AOGC01089370.1	NW_013188532.1	623	2883
C18129810	AOGC01089371.1	NW_013188536.1	623	2884
scaffold1179	KQ040386.1	NW_013188533.1	623	2885
C18128408	AOGC01089361.1	NW_013188539.1	622	2886
C18128190	AOGC01089363.1	NW_013188542.1	622	2887
